ORB/FREAK : 11.937123, -inf, 11.107738, 11.279673, 102.035032, 14.457838, 127.591015, 9.385881, 30.141655, -545.043513, 8.407813, 47.565583, 7.683490, 519.591694, -inf, 9.044739, -inf, 21.330082, 
ORB/SIFT : 15.089295, 14.006272, 28.230235, 330.969511, 32.888774, 11.581575, 16.589884, 10.854592, 12.959954, 12.739051, 8.425440, -inf, 8.107448, 623.139012, 25.426686, 9.541363, 17.873566, 27.511268, 
AKAZE/BRISK : 12.741524, 15.092947, 13.317413, 14.711294, 14.973098, 15.089009, 15.940867, 14.896059, 14.115117, 11.893255, 12.485005, 11.208164, 11.028551, 9.875934, 9.628696, 10.490678, 9.390671, 9.144961, 
AKAZE/BRIEF : 13.916646, 17.776697, 13.333726, 15.709587, 18.023256, 15.317841, 20.577507, 17.211973, 18.750172, 16.111888, 14.304945, 17.713861, 10.800908, 11.186642, 11.187645, 11.294710, 10.757947, 9.529478, 
AKAZE/ORB : 13.127468, 14.711183, 13.496457, 14.719392, 16.704810, 15.582111, 15.926650, 14.865635, 15.160514, 11.818564, 12.998211, 11.623797, 11.167912, 10.378772, 9.717936, 10.939431, 9.376852, 9.077970, 
AKAZE/FREAK : 13.137343, 14.249087, 13.827848, 14.816423, 15.553071, 15.377964, 15.829725, 14.519471, 13.673551, 11.711141, 12.457002, 11.190549, 11.285216, 10.000040, 9.258821, 10.125874, 9.620276, 9.131061, 
AKAZE/AKAZE : 12.705837, 14.608843, 13.336987, 15.380350, 17.243008, 14.898385, 15.765890, 14.823369, 15.107772, 12.240156, 12.610606, 11.659270, 11.223903, 10.916170, 10.258607, 10.579174, 9.398551, 9.331294, 
AKAZE/SIFT : 13.097126, 14.658363, 13.475246, 15.058498, 17.017260, 15.055637, 15.818111, 14.689594, 14.773922, 12.116907, 12.967641, 11.659270, 11.386064, 11.112360, 9.535192, 10.831922, 9.479686, 9.328559, 
SIFT/BRISK : 13.250356, 12.222338, 13.491535, 20.458854, 19.455926, 12.313450, 13.590137, 15.049028, 12.848545, 10.082918, 12.051008, 10.977418, 10.137123, 9.212853, 9.383023, 9.189244, 9.235374, 8.674369, 
SIFT/BRIEF : 13.014183, 11.950410, 14.315833, 18.818469, 18.440084, 11.463936, 14.307177, 15.924770, 14.066648, 12.062533, 12.204310, 9.858094, 10.846992, 9.674130, 9.310938, 8.976891, 9.086642, 8.916483, 
SIFT/FREAK : 12.443300, 13.853603, 12.713045, 20.696720, 14.748211, 12.930277, 14.168892, 13.302357, 14.875385, 11.243382, 12.299740, 10.298524, 9.569693, 9.096926, 8.849186, 8.797695, 9.121438, 9.042147, 
SIFT/SIFT : 12.677949, 13.803206, 13.054839, 18.287173, 15.400684, 13.218496, 13.861638, 17.629682, 13.739193, 10.994754, 11.247805, 10.382306, 10.447753, 9.883843, 9.425086, 9.189662, 9.045232, 8.684337, 
